Alexandrie 1,55
Alexandrie 2,125
Cricket Playgrounds,116
1992-1993,104
Hellénique 119,40
Hellénique 120,129
Hellénique 121,17
Hellénique 122,7
Hellénique 125,84
Hellénique 126,106
Maamourah,20
Citerne el-Nabih,60
Alexandrie 10,74
Alexandrie 7,71
Alexandrie 9,76
Description de l'Égypte,47
Alexandrie 18,122
Gouvernment Hospital site,44
Orientalia 63,59
trench near the Via Canopica,87
La côte Alexandrine,87
L'ancienne Alexandrie,35
Le Musée Gréco-Romain 1925-1951,54
citernes d'Alexandrie,117
Alexandriaca I,117
habitations romaines tardives,51
temple de Césaerum,111
Mémoire sur l'antique Alexandrie,115
Modern Egypt and Thebes,108
Neue Untersuchungen,97
Notes épigraphiques,64
fouilles récentes,18
Nouvelles découvertes,5
Plan de la ville,70
bibliothèque municipale,23
marche du service du Musée pendant l'année 1906,80
marche du service du Musée pendant l'année 1922-1923,103
marche du service du Musée pendant l'exercice 1917-1918,49
marche du service du Musée pendant l'exercice 1921-1922,19
Rapport sur les fouilles,6
Recent discoveries,72
Recherches sur les anciens monuments,57
Report on prospects,4
Saggio di una pianta,61
Scavi e scoperte,95
Topografia e architettura,129
Travaux de l'IFAO en 1997-1998,102
Travaux de l'IFAO en 2000-2001,12
Travaux de l'IFAO en 2001-2002,126
Travaux de l'IFAO en 2002-2003,21
Travaux de l'IFAO en 2003-2004,128
Vestiges d'un édifice,119
Voyage d'Égypte,75;126
Alexandrea ad Aegyptum,128
Basse Égypte,13
Annuaire du Musée,16
Archéologique d'Alexandrie 5,107
Museo di Alessandria,39
